"user";"revenue";"units";"ls.date";"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad"
8865;"NULL";"NULL";"NULL";"NULL";-1;0;1;"NULL";"NULL";"NULL";"NULL";"ipod";"NULL";134336
7621;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"NULL";192037
9947;"NULL";"NULL";"2015-05-27";"7986";0;2546;3;"0.333333333333";"0.711111111111";"0.615384615385";"13.0";"iphone";"21340.0";51450
5161;"NULL";"NULL";"2015-05-27";"20578";0;4110;6;"0.511111111111";"0.955555555556";"0.625";"24.0";"iphone";"1855.8";32214
5658;"NULL";"NULL";"2015-05-27";"3226";-1;114;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";3341
3936;"NULL";"NULL";"2015-05-27";"85659";0;678;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"ipad";"92244.0";178272
490;"NULL";"NULL";"2015-05-27";"722";0;1864;3;"0.4";"0.466666666667";"0.7";"20.0";"iphone";"313.0";2880
6224;"NULL";"NULL";"2015-05-26";"93694";-1;6;2;"NULL";"NULL";"NULL";"NULL";"iphone";"223.0";93701
5414;"NULL";"NULL";"2015-05-27";"38055";0;1712;4;"0.222222222222";"0.222222222222";"0.181818181818";"11.0";"iphone";"745.666666667";41567
7575;"NULL";"NULL";"2015-05-26";"162645";0;1;2;"0.155555555556";"0.155555555556";"1.0";"2.0";"iphone";"49.0";162647
8551;"NULL";"NULL";"2015-05-27";"34989";0;3010;10;"0.4";"0.444444444444";"0.311111111111";"45.0";"ipod";"15625.5555556";176246
8965;"NULL";"NULL";"2015-05-27";"36609";0;22051;8;"0.666666666667";"0.711111111111";"0.692307692308";"26.0";"ipad";"13408.2857143";133263
7981;"NULL";"NULL";"2015-05-26";"111074";0;900;4;"0.266666666667";"0.266666666667";"0.75";"8.0";"iphone";"17845.3333333";165034
4483;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"NULL";203263
2988;"NULL";"NULL";"2015-05-27";"25557";0;502;2;"0.177777777778";"0.4";"0.8";"5.0";"iphone";"1689.0";27388
4954;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.177777777778";"0.177777777778";"1.0";"3.0";"iphone";"NULL";82929
2878;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.444444444444";"0.444444444444";"0.789473684211";"19.0";"iphone";"NULL";248539
9170;"NULL";"NULL";"2015-05-27";"40642";-1;87;2;"0.133333333333";"0.177777777778";"NULL";"NULL";"iphone";"307.0";40950
188;"NULL";"NULL";"2015-05-27";"24570";-1;132;1;"0.133333333333";"0.444444444444";"1.0";"1.0";"iphone";"NULL";24703
9993;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.155555555556";"0.155555555556";"0.333333333333";"3.0";"iphone";"NULL";119618
3124;"NULL";"NULL";"2015-05-27";"16702";-1;1546;3;"0.4";"0.4";"0.428571428571";"21.0";"ipod";"13001.0";43368
5205;"NULL";"NULL";"2015-05-27";"41028";0;645;2;"0.177777777778";"0.177777777778";"0.5";"4.0";"iphone";"76882.0";118135
651;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"NULL";29549
2761;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"1.0";"3.0";"iphone";"NULL";244891
8197;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.288888888889";"0.288888888889";"0.777777777778";"9.0";"iphone";"NULL";178806
3109;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.333333333333";"0.333333333333";"0.318181818182";"22.0";"iphone";"NULL";90345
4771;"NULL";"NULL";"2015-05-27";"15238";0;4646;2;"0.333333333333";"0.666666666667";"0.583333333333";"12.0";"ipad";"168.0";19924
8078;"NULL";"NULL";"2015-05-27";"35968";0;6329;6;"0.444444444444";"0.444444444444";"0.764705882353";"17.0";"iphone";"28211.6";179470
3011;"NULL";"NULL";"2015-05-27";"4790";1;10591;9;"0.333333333333";"0.333333333333";"0.52";"25.0";"ipad";"25380.625";208130
8399;"NULL";"NULL";"2015-05-25";"172813";0;5477;7;"0.555555555556";"0.555555555556";"0.576923076923";"26.0";"iphone";"14339.3333333";258804
6201;"NULL";"NULL";"2015-05-26";"155601";0;1967;2;"0.266666666667";"0.288888888889";"0.315789473684";"19.0";"iphone";"87257.0";243450
5560;"NULL";"NULL";"2015-05-27";"24466";0;8213;25;"0.777777777778";"0.888888888889";"0.648648648649";"37.0";"iphone";"8089.33333333";218770
9895;"NULL";"NULL";"2015-05-25";"184818";-1;143;3;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"16528.0";184999
4092;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"NULL";121612
4526;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"0.75";"4.0";"ipad";"NULL";54948
3525;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"NULL";16942
2560;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";176351
5248;"NULL";"NULL";"2015-05-26";"130833";0;1844;3;"0.333333333333";"0.333333333333";"0.777777777778";"9.0";"ipad";"48922.5";133092
3821;"NULL";"NULL";"2015-05-25";"245990";-1;8;2;"0.155555555556";"0.155555555556";"0.5";"2.0";"ipad";"58.0";245999
9240;"NULL";"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";203485
1561;"NULL";"NULL";"2015-05-25";"239060";-1;308;2;"0.177777777778";"0.177777777778";"0.142857142857";"7.0";"ipad";"78684.0";239369
9384;"NULL";"NULL";"2015-05-26";"172569";0;210;2;"0.288888888889";"0.288888888889";"0.875";"8.0";"iphone";"17024.0";172780
1453;"NULL";"NULL";"2015-05-27";"19436";1;2169;4;"0.333333333333";"0.444444444444";"0.4375";"16.0";"iphone";"1675.66666667";24469
3220;"NULL";"NULL";"NULL";"NULL";0;0;2;"0.333333333333";"0.333333333333";"0.421052631579";"19.0";"iphone";"14.0";14851
4604;"NULL";"NULL";"2015-05-27";"83194";0;16;2;"0.222222222222";"0.222222222222";"1.0";"2.0";"iphone";"104.0";83211
308;"NULL";"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"1.0";"3.0";"iphone";"NULL";204531
